x  y
15 6
40 10
58 60
52 39
68 79
99 40
52 51
23 52
37 25
95 45
66 59
54 76
16 74
85 8
30 32
95 44
79 67
29 84
64 42
85 23
24 74
78 56
99 97
84 70
64 37
66 23
95 15
10 63
17 98
24 43
54 1
30 38
97 13
40 95
91 58
11 72
73 25
64 66
47 80
9 18
81 56
78 66
99 53
89 46
54 15
41 68
90 72
7 2
38 28
54 64
37 75
67 93
5 10
60 15
4 65
85 14
12 31
70 16
54 42
67 38
98 88
49 81
41 79
72 89
84 98
86 84
5 13
38 98
19 4
43 54
94 61
25 44
67 17
76 48
16 11
72 56
80 56
32 18
68 16
79 31
36 70
52 37
70 25
27 8
76 21
34 78
17 93
75 26
35 5
26 36
88 93
93 25
9 74
42 84
24 57
27 80
70 24
32 54
19 37
19 75
9 25
86 96
96 71
60 72
27 45
72 49
83 64
17 88
4 58
32 12
36 31
6 60
82 33
3 50
85 81
81 3
36 51
80 89
90 6
8 30
91 53
21 47
23 52
33 48
71 80
75 71
41 46
33 95
23 82
55 79
92 69
7 6
16 35
12 49
61 88
31 2
40 58
65 70
83 37
18 96
10 27
21 9
15 8
36 36
50 11
65 5
45 89
15 40
29 59
41 23
70 44
54 36
66 58
74 24
89 97
5 77
19 72
44 12
29 77
59 1
52 17
97 89
80 64
2 89
90 41
97 60
19 51
63 97
71 92
46 34
93 9
85 68
30 97
97 61
59 0
21 36
95 51
4 14
87 38
83 57
5 19
35 53
2 78
67 63
15 99
89 68
89 55
54 34
54 62
23 17
29 79
0 13
25 68
25 11
97 45
44 96
82 84
1 55
20 1
30 77
13 39
0 73
95 63
92 56
31 86
53 2
42 54
91 45
63 28
86 76
18 67
0 3
22 59
60 74
14 52
66 69
27 23
52 64
38 8
46 7
16 62
82 0
83 71
29 95
74 57
34 97
28 72
92 47
34 64
66 70
18 90
88 24
42 42
53 60
42 97
54 50
45 13
58 60
45 66
24 10
48 42
5 78
63 97
68 83
3 91
22 71
60 7
28 16
88 11
22 42
98 19
57 49
33 22
60 43
46 73
70 45
30 58
56 31
72 21
69 58
3 90
78 4
40 73
7 56
20 34
12 11
74 26
91 7
63 98
86 98
98 45
90 85
16 84
12 24
83 39
83 12
40 35
8 92
8 6
38 60
9 32
86 51
78 77
54 42
54 19
1 11
24 85
91 43
99 12
68 32
47 65
11 98
65 80
1 32
13 33
58 5
79 38
18 99
84 40
52 58
1 42
6 58
50 11
69 3
25 53
19 50
98 60
5 85
52 32
41 1
74 70
25 55
62 30
80 21
63 26
88 35
82 31
29 54
4 87
93 38
56 7
67 62
76 90
86 75
68 38
10 38
23 44
11 99
97 74
33 87
57 70
99 72
23 48
72 81
78 79
95 29
42 44
23 59
70 11
69 78
33 56
85 69
57 88
48 0
3 24
82 14
1 44
15 81
23 87
52 52
9 12
20 30
6 40
20 86
5 77
45 24
33 75
21 19
17 23
30 51
63 17
84 22
6 54
57 48
59 5
37 78
64 78
7 39
7 70
58 50
56 50
5 78
61 80
85 67
51 35
17 6
79 17
82 90
16 20
84 42
21 84
62 1
74 35
86 28
57 25
46 2
21 9
22 26
3 3
85 38
26 4
85 16
13 39
65 9
55 74
52 84
99 22
24 45
82 81
44 93
36 26
24 43
78 34
91 0
98 15
83 62
17 43
22 97
75 74
20 96
14 56
66 17
80 17
13 29
21 3
70 81
25 25
61 39
10 45
49 64
22 14
69 55
47 12
39 4
33 53
26 93
66 32
89 36
74 55
79 82
79 98
44 52
93 48
72 69
60 13
77 91
70 35
36 91
67 70
0 61
79 91
98 46
21 73
56 27
72 69
32 65
58 77
47 4
54 27
51 63
67 5
5 26
47 20
49 32
59 96
76 2
5 2
62 38
47 72
86 85
50 98
10 21
85 84
10 27
76 5
90 61
46 18
48 16
52 86
62 15
31 81
63 88
51 89
18 64
64 72
82 57
78 5
86 5
90 96
47 8
38 28
67 70
71 48
8 71
69 5
44 43
27 33
0 50
15 43
36 47
7 92
63 82
36 79
45 22
98 50
13 84
78 11
43 26
76 49
33 12
50 49
72 29
29 75
73 21
5 42
68 26
17 42
99 43
98 43
72 72
40 59
37 0
64 44
86 21
26 83
93 31
79 49
36 68
26 75
31 34
57 19
34 86
8 62
21 31
91 4
98 97
13 45
83 1
54 51
33 4
26 64
42 88
81 75
73 37
87 66
72 19
77 7
73 30
63 5
57 44
3 96
14 11
10 83
25 8
4 85
41 57
69 60
2 97
79 79
13 83
99 36
33 13
35 32
59 69
96 64
54 49
45 36
45 61
87 94
63 80
27 19
86 63
83 18
69 36
88 37
76 75
16 39
41 59
42 10
58 13
90 96
31 69
33 33
77 99
76 29
63 36
9 85
5 64
22 1
9 4
41 39
35 94
51 29
29 46
85 26
60 82
47 27
2 56
98 64
89 29
24 41
93 57
50 8
52 47
15 66
74 26
52 18
64 85
61 22
79 50
53 36
25 63
23 91
8 63
17 30
57 80
40 31
49 5
27 36
92 76
20 37
19 50
13 65
42 77
65 57
77 14
9 55
90 51
71 88
42 72
71 39
90 72
31 90
61 63
36 55
81 94
50 95
20 86
42 52
0 34
13 67
33 47
81 11
55 55
62 86
53 34
17 24
77 5
6 8
62 73
68 68
76 63
33 50
53 5
12 18
77 69
76 48
75 57
53 53
26 18
66 87
28 57
34 99
90 13
12 91
10 11
59 20
20 56
52 99
52 8
67 96
47 75
61 47
21 96
82 53
77 22
66 20
18 9
33 41
69 46
92 20
88 28
24 40
42 26
88 44
47 4
29 74
14 84
36 88
18 20
78 76
46 56
40 83
42 59
75 16
71 35
20 30
55 14
5 33
44 58
11 39
2 24
48 76
28 16
37 1
52 35
61 95
86 12
22 76
55 48
51 68
1 63
9 90
64 94
22 34
63 91
59 1
15 68
93 50
99 23
96 52
34 67
65 20
3 17
88 50
62 9
85 27
1 36
91 6
21 24
85 67
2 6
87 17
6 82
46 11
24 94
23 98
47 1
25 48
75 74
61 41
91 58
45 79
0 18
42 40
28 74
19 32
6 86
13 59
53 19
47 75
40 30
3 67
91 83
8 15
20 18
40 23
19 86
76 39
25 52
19 20
84 37
35 37
23 8
36 35
66 4
90 62
18 97
84 99
99 7
16 68
77 64
33 87
11 34
26 51
99 48
38 59
41 86
57 86
96 59
87 16
91 94
55 43
73 32
59 53
45 20
0 21
95 23
76 10
2 85
88 37
58 40
34 47
78 23
47 37
18 34
52 44
36 59
44 7
2 14
10 79
35 8
27 48
33 93
1 5
56 11
47 13
34 36
90 10
82 80
88 3
20 11
3 20
83 36
4 5
20 78
50 55
37 27
95 26
7 62
43 45
47 60
53 3
79 18
62 99
8 6
23 11
14 16
61 26
98 15
93 28
0 86
49 42
57 59
30 17
22 82
28 31
30 6
34 73
57 86
6 4
32 73
54 10
14 38
83 32
24 51
46 56
40 50
68 23
70 89
11 17
53 93
79 74
14 76
70 30
44 38
12 77
1 42
41 12
25 26
67 32
43 87
93 2
60 2
46 65
31 44
80 99
11 86
62 37
63 80
43 57
58 81
91 92
36 35
6 93
47 67
3 87
68 17
31 17
13 91
66 86
58 23
25 45
47 8
51 20
10 4
51 50
56 0
52 29
11 82
36 73
55 9
80 87
91 73
64 71
47 78
74 23
16 45
38 3
1 25
77 10
32 46
5 86
60 86
53 13
83 7
57 89
65 57
81 68
6 58
71 6
78 72
56 60
40 48
39 62
80 1
18 61
28 9
70 22
61 56
84 23
28 25
39 25
87 38
16 2
78 33
99 33
92 40
97 6
51 49
71 51
15 36
66 95
22 28
61 21
31 44
65 78
1 58
19 35
96 63
23 68
91 40
58 27
57 87
26 71
18 89
44 67
82 32
37 10
97 47
26 85
2 47
60 40
48 48
97 55
48 87
31 20
74 2
93 32
37 37
42 86
58 41
14 2
50 51
74 72
84 58
34 29
86 10
49 40
12 9
85 85
6 97
37 43
5 54
47 6
94 30
28 22
51 90
85 6
40 22
65 40
2 5
35 34
59 74
73 31
8 76
80 55
5 19
71 68
76 95
98 60
67 75
22 86
55 87
35 4
25 34
93 69
17 94
75 94
87 71
57 11
2 95
98 28
22 37
46 26
77 20
93 66
42 55
46 26
51 74
